uid,date,stress_label,sleep_duration,sleep_midpoint,activity_level,activity_variance,routine_change
u00,2023-01-01,2,7.795669625137142,3.05,9,0.49453535504684026,3
u00,2023-01-02,3,6.905424993755828,4.566666666666666,7,0.46430562148753646,3
u00,2023-01-03,1,6.735962082761572,2.6333333333333333,14,0.5036101551853348,3
u00,2023-01-04,2,11.181457386264858,5.033333333333333,12,0.5107539184552492,3
u00,2023-01-05,3,7.907579459355211,4.3,8,0.48154341234307674,3
u00,2023-01-06,2,5.581824414679058,0.25,8,0.48154341234307685,5
u00,2023-01-07,2,7.304323677860792,3.216666666666667,12,0.5107539184552492,3
u00,2023-01-08,3,6.916794553739747,2.9333333333333336,14,0.5036101551853348,3
u00,2023-01-09,1,8.163009277273737,2.2666666666666666,11,0.5089773777040516,2
u00,2023-01-10,3,6.901512815641873,2.6166666666666667,6,0.4423258684646914,2
u00,2023-01-11,3,6.245030912241763,6.683333333333334,14,0.5036101551853348,3
u00,2023-01-12,1,5.296434263696291,4.566666666666666,10,0.5036101551853349,4
u00,2023-01-13,3,7.478448769620488,4.866666666666667,10,0.5036101551853349,4
u00,2023-01-14,3,6.395621678958015,2.3666666666666667,6,0.44232586846469135,2
u00,2023-01-15,3,7.636623416839212,0.05,15,0.49453535504684026,3
u00,2023-01-16,1,10.07989505849192,3.533333333333333,12,0.5107539184552491,3
u00,2023-01-17,1,6.121158563020207,4.066666666666666,14,0.5036101551853348,3
u00,2023-01-18,1,8.40695930070516,2.6,7,0.4643056214875365,4
u00,2023-01-19,1,7.5008521506300445,3.8833333333333333,11,0.5089773777040516,3
u00,2023-01-20,2,7.799544035669916,5.25,16,0.4815434123430768,3
u00,2023-01-21,1,6.770729719786892,3.1,10,0.5036101551853348,4
u00,2023-01-22,3,9.58828741995286,5.583333333333333,9,0.49453535504684026,4
u00,2023-01-23,2,6.290072150355406,1.8666666666666667,11,0.5089773777040516,5
u00,2023-01-24,3,7.678372578500449,1.1666666666666667,9,0.49453535504684026,1
u00,2023-01-25,1,8.966487437685538,3.15,15,0.4945353550468402,4
u00,2023-01-26,3,4.708140972097354,2.2666666666666666,6,0.44232586846469135,3
